n_basis,fortran_s,julia_cpu_s,julia_gpu_s,julia_cpu_ad_s,julia_gpu_ad_s,julia_gpu_ad_mps_s,julia_gpu_truth_s,julia_gpu_robust_ad_s,fortran_nh,julia_cpu_nh,julia_gpu_nh,julia_cpu_ad_nh,julia_gpu_ad_nh,julia_gpu_ad_mps_nh,julia_gpu_truth_nh,julia_gpu_robust_ad_nh,notes
6,17.096,141.31,140.409,147.119,65.626,159.878,765.607,631.574,0.04748888888888889,0.39252777777777775,0.19501249999999998,0.4086638888888889,0.09114722222222223,0.22205277777777774,0.2126686111111111,0.17543722222222222,fortran=-n1280
8,19.663,148.398,148.987,164.372,57.89,154.186,866.806,720.686,0.05461944444444444,0.4122166666666667,0.20692638888888887,0.45658888888888893,0.08040277777777778,0.21414722222222224,0.24077944444444446,0.20019055555555557,fortran=-n1280
16,33.528,250.006,161.728,359.243,47.44,193.062,1723.301,1508.725,0.09313333333333333,0.6944611111111111,0.22462222222222225,0.9978972222222222,0.06588888888888889,0.26814166666666667,0.4786947222222222,0.41909027777777774,fortran=-n1280
32,182.788,1029.214,226.3,1763.429,42.735,268.002,4963.984,4537.351,0.5077444444444444,2.8589277777777777,0.31430555555555556,4.898413888888889,0.05935416666666667,0.372225,1.3788844444444446,1.2603752777777777,fortran=-n1280
